Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
8.3035,-603.4500000000116,16317.850000000093,0,0,0
8.3045,-661.4500000000116,16317.850000000093,0,0,0
8.3509,-503.45000000001164,16495.850000000093,0,0,0
8.5055,-503.45000000001164,16495.850000000093,0,0,0
8.5067,-445.45000000001164,16185.850000000093,0,0,0
8.5067,-445.45000000001164,16185.850000000093,0,0,0
8.556,-436.45000000001164,16463.850000000093,0,0,0
8.7176,-468.45000000001164,17254.850000000093,0,0,0
8.7186,-468.45000000001164,17254.850000000093,0,0,0
8.7186,-347.45000000001164,17464.850000000093,0,0,0
8.7642,-347.45000000001164,17464.850000000093,0,0,0
8.9285,-262.45000000001164,16664.850000000093,0,0,0
8.9295,-262.45000000001164,16664.850000000093,0,0,0
8.9295,-245.45000000001164,16871.850000000093,0,0,0
8.9686,-549.4500000000116,16871.850000000093,0,0,0
9.1513,-549.4500000000116,17143.850000000093,0,0,0
9.1513,-350.45000000001164,17143.850000000093,0,0,0
9.1523,-350.45000000001164,16846.850000000093,0,0,0
9.1809,-54.45000000001164,16569.850000000093,0,0,0
9.3603,-444.45000000001164,16569.850000000093,0,0,0
9.3613,-444.45000000001164,16610.850000000093,0,0,0
9.3613,-441.45000000001164,16610.850000000093,0,0,0
9.3804,-441.45000000001164,15618.850000000093,0,0,0
9.5549,-386.45000000001164,15618.850000000093,0,0,0
9.5549,-429.45000000001164,15750.850000000093,0,0,0
9.5559,-429.45000000001164,15750.850000000093,0,0,0
9.5783,-261.45000000001164,15310.850000000093,0,0,0
9.7607,-261.45000000001164,15310.850000000093,0,0,0
9.7618,-88.45000000001164,14839.850000000093,0,0,0
9.7618,-88.45000000001164,14760.850000000093,0,0,0
9.7984,-101.45000000001164,14760.850000000093,0,0,0
9.96,33.54999999998836,14255.850000000093,0,0,0
9.96,33.54999999998836,14255.850000000093,0,0,0
9.9611,11.549999999988358,14106.850000000093,0,0,0
10.0041,11.549999999988358,14106.850000000093,0,0,0
10.1672,122.54999999998836,13964.850000000093,0,0,0
10.1672,152.54999999998836,13964.850000000093,0,0,0
10.1682,152.54999999998836,13945.850000000093,0,0,0
10.1996,186.54999999998836,13879.850000000093,0,0,0
10.3966,186.54999999998836,13879.850000000093,0,0,0
10.3966,258.54999999998836,13767.850000000093,0,0,0
10.3979,258.54999999998836,13767.850000000093,0,0,0
10.3979,264.54999999998836,13961.850000000093,0,0,0
10.6176,168.54999999998836,13961.850000000093,0,0,0
10.6186,168.54999999998836,14034.850000000093,0,0,0
10.6196,138.54999999998836,14034.850000000093,0,0,0
10.6196,138.54999999998836,13717.850000000093,0,0,0
10.6651,181.54999999998836,13717.850000000093,0,0,0
10.823,54.54999999998836,13565.850000000093,0,0,0
10.824,54.54999999998836,13743.850000000093,0,0,0
